Date,Nedbank Eswatini,Royal Swazi Sugar,SWD Empowerment Limited,SWAPROP,Greystone,SBC Limited,Inala Capital Limited,NPC Limited,FNB Limited
2024-08-17,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-16,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-15,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-14,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-13,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-12,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-11,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-10,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-09,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-08,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-07,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-06,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-05,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-04,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-03,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-02,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-08-01,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-31,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-30,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-29,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-28,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-27,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-26,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-25,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-24,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-23,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-22,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-21,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-20,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-19,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-18,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-17,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-16,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-15,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-14,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-13,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-12,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-11,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-10,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-09,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-08,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-07,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-06,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-05,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-04,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-03,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-02,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-07-01,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-30,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-29,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-28,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-27,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-26,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-25,15,17,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-24,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-23,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-22,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-21,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-20,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-19,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-18,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-17,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-16,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-15,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-14,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-13,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-12,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-11,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-10,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-09,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-08,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-07,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-06,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-05,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-04,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-03,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-02,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-06-01,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-31,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-30,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-29,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
2024-05-28,15,15.2,39,8,3.4,8.9,1.5,1.5,14.83
